p,rep,level,eig_idx,method,pop_eig,sample_eig
10,21,B,1,REML,4,4.396631692
10,21,B,2,REML,4,4.112817692
10,21,B,3,REML,4,3.85692648
10,21,B,4,REML,4,3.249880233
10,21,B,5,REML,4,0.037211129
10,21,E,1,REML,1,1.143380202
10,21,E,2,REML,1,1.092401117
10,21,E,3,REML,1,1.068374432
10,21,E,4,REML,1,1.034735318
10,21,E,5,REML,1,1.020656992
10,22,A,1,MANOVA,1,1.589876883
10,22,A,2,MANOVA,1,1.330051057
10,22,A,3,MANOVA,1,1.06144326
10,22,A,4,MANOVA,1,0.918048604
10,22,A,5,MANOVA,1,0.649707604
10,22,B,1,MANOVA,4,4.944279276
10,22,B,2,MANOVA,4,4.478867985
10,22,B,3,MANOVA,4,4.02002896
10,22,B,4,MANOVA,4,3.51314791
10,22,B,5,MANOVA,4,0.080845892
10,22,E,1,MANOVA,1,1.21661139
10,22,E,2,MANOVA,1,1.155723417
10,22,E,3,MANOVA,1,1.062685319
10,22,E,4,MANOVA,1,1.022355611
10,22,E,5,MANOVA,1,1.005013252
10,22,A,1,REML,1,1.590902993
10,22,A,2,REML,1,1.328251579
10,22,A,3,REML,1,1.050478157
10,22,A,4,REML,1,0.915759246
10,22,A,5,REML,1,0.649189561
10,22,B,1,REML,4,4.695530213
10,22,B,2,REML,4,4.329603453
10,22,B,3,REML,4,3.74368022
10,22,B,4,REML,4,3.372407022
10,22,B,5,REML,4,0.070702308
10,22,E,1,REML,1,1.173997405
10,22,E,2,REML,1,1.129135997
10,22,E,3,REML,1,1.055912041
10,22,E,4,REML,1,1.018841476
10,22,E,5,REML,1,0.978685915
10,23,A,1,MANOVA,1,1.725026244
10,23,A,2,MANOVA,1,1.401261634
10,23,A,3,MANOVA,1,1.125986392
10,23,A,4,MANOVA,1,1.033878626
10,23,A,5,MANOVA,1,0.862771455
10,23,B,1,MANOVA,4,4.679363165
10,23,B,2,MANOVA,4,4.245002356
10,23,B,3,MANOVA,4,3.643365126
10,23,B,4,MANOVA,4,3.500502978
10,23,B,5,MANOVA,4,0.057782694
10,23,E,1,MANOVA,1,1.123792489
10,23,E,2,MANOVA,1,1.113269321
10,23,E,3,MANOVA,1,1.059562847
